"college_pref","average_grade","bad_internet","more_anxiety","quality_learning","quality_teaching","recording_freq","separate_room","study_less","study_more","wellbeing","zoom_anxiety","attendance_freq","hs_ag","hs_country","hs_pref","id","third_year","got_anxiety","lost_anxiety","still_anxiety","no_anxiety","partial_lockdown"
"1","4","0","0","3","-1","2","0","0","1","-3","0","4",NA,"Other","0",33,"0",0,0,0,1,"0"
"0","3","0","1","1","-2","4","1","1","0","-1","0","4","3","Switzerland","0",34,"0",0,0,1,0,"0"
"0","3","0","1","0","-1","4","1","0","1","0","0","4",NA,"Other","0",35,"1",0,0,1,0,"0"
"0","2","0","0","0","-2","2","1","0","1","0","0","1",NA,"Other","1",37,"0",0,0,0,1,"0"
"1","0","0","0","5","5","1","1","1","0","5","0","1","3","Switzerland","0",39,"1",0,0,0,1,"0"
"0","2","0","1","2","2","3","0","0","1","3","0","4",NA,"Other","0",40,"1",0,0,1,0,"0"
"0",NA,"1","1","-1","-1","3","0","0","1","0","1","3",NA,"Other","1",44,"1",0,0,1,0,"0"
"0","1","0","1","-5","-5","2","1","1","0","-5","1","3","2","Switzerland","1",46,"0",0,0,1,0,"0"
"1","3","0","0","0","4","2","0","0","0","4","0","4",NA,"Other","0",33,"0",0,0,0,1,"1"
"0","1","0","1","1","-2","4","1","1","0","-1","0","4","3","Switzerland","0",34,"0",0,0,1,0,"1"
"0","3","0","1","0","0","4","1","0","0","0","0","2",NA,"Other","0",35,"1",0,0,1,0,"1"
"0","0","0","0","0","0","1","1","0","1","0","0","1",NA,"Other","1",37,"0",0,0,0,1,"1"
"1","0","0","0","5","5","1","1","0","1","5","0","1","3","Switzerland","0",39,"1",0,0,0,1,"1"
"0","2","0","1","2","1","3","0","0","0","-2","0","3",NA,"Other","0",40,"1",0,0,1,0,"1"
"0",NA,"1","1","-1","-1","3","0","0","1","0","1","3",NA,"Other","1",44,"1",0,0,1,0,"1"
"0","0","0","1","-5","-5","3","1","0","0","-5","1","2","2","Switzerland","1",46,"0",0,0,1,0,"1"
