"college_pref","average_grade","bad_internet","more_anxiety","quality_learning","quality_teaching","recording_freq","separate_room","study_less","study_more","wellbeing","zoom_anxiety","attendance_freq","hs_ag","hs_country","hs_pref","id","third_year","got_anxiety","lost_anxiety","still_anxiety","no_anxiety","partial_lockdown"
"0","3","0","1","-2","-2","1","1","0","1","0","1","4","4","France","0",39,"1",0,1,0,0,"0"
"1","1","0","1","-2","0","2","0","1","0","-4","1","4","2","Switzerland","0",40,"0",0,1,0,0,"0"
"1","2","0","1","-1","-1","3","1","1","0","-3","0","4",NA,"Other","0",41,"1",0,1,0,0,"0"
"0","2","0","0","3","2","2","1","0","1","4","1","4","2","Switzerland","0",42,"0",0,0,0,1,"0"
"1","3","1","1","0","-2","1","1","0","0","-2","0","4","4","France","0",43,"0",0,0,1,0,"0"
"1","2","0","0","0","0","4","1","1","0","0","0","4","1","Switzerland","0",44,"1",0,0,0,1,"0"
"1","2","0","0","-2","-2","3","1","0","1","-1","0","4","2","Switzerland","0",45,"0",1,0,0,0,"0"
"1","2","0","0","5","2","4","1","0","0","3","0","4","3","Switzerland","0",46,"1",0,0,0,1,"0"
"1","3","1","1","-3","-2","4","0","0","1","-3","0","3","3","France","0",49,"1",0,0,1,0,"0"
"1","1","0","1","1","-1","3","1","0","1","-3","0","4","2","Switzerland","0",50,"1",0,0,1,0,"0"
"1","2","0","1","-3","-1","4","0","1","0","-5","1","2","4","France","0",52,"0",0,1,0,0,"0"
"0","3","0","1","-2","-1","1","1","1","0","-3","0","4","3","Switzerland","1",53,"0",0,0,1,0,"0"
"0","2","0","1","2","-1","3","1","0","0","-2","0","2","2","Switzerland","1",57,"1",0,1,0,0,"0"
"0","2","1","0","-3","-4","3","1","0","1","-5","0","4","4","France","0",59,"0",0,0,0,1,"0"
"1","3","0","1","-3","-5","3","0","0","1","-3","0","2","4","Switzerland","0",60,"1",0,0,1,0,"0"
"0","4","1","0","-2","0","1","1","0","1","-3","0","4","4","Switzerland","1",61,"0",0,0,0,1,"0"
"1","3","0","1","-2","-1","1","1","1","0","-3","0","4","2","France","0",62,"0",0,1,0,0,"0"
"0","2","0","0","3","2","2","1","0","1","-1","0","3","4","France","1",63,"0",1,0,0,0,"0"
"1","2","0","1","-1","5","1","1","0","0","-2","0","2","2","France","0",64,"0",0,1,0,0,"0"
"0","3","0","0","-2","0","2","1","1","0","-3","0","4","3","Switzerland","0",65,"0",0,0,0,1,"0"
"0","1","0","0","0","-1","1","1","0","0","2","0","4","4","France","1",66,"0",1,0,0,0,"0"
